"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"39","Taking KLF9 to “Cort” for crimes against metabolism https://t.co/nktdPCxdOP David Sweet, Liyan Fan, and Mukesh Jain… https://t.co/sjmdHakNt2",FALSE,1,NA,2019-05-03 20:00:22,TRUE,NA,"1124403345899315200",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","jclinicalinvest",0,FALSE,FALSE,NA,NA
"40","RT @NeuroEndo_Ex: Come and join myself and @Craig_Beall for a #PhD studentship at @ExeterMed studying #glia in glucose regulation and #diab…",FALSE,0,NA,2019-05-03 19:57:45,FALSE,NA,"1124402685489315840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joedwardlewis",1,TRUE,FALSE,NA,NA
"41","Great ! Am happy to link up with @mackmoira at @dhiscotland to find out more, I still owe her some  time with… https://t.co/7XjclDpCWR",FALSE,1,NA,2019-05-03 19:56:29,TRUE,NA,"1124402368584531971",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soo_cchsc",0,FALSE,FALSE,NA,NA
"42","RT @onboardhealth: Viola Davis and Merck team up to address Type 2 #diabetes with documentary https://t.co/9p7QLTqrIx (via @theGrio) cc: @a…",FALSE,0,NA,2019-05-03 19:51:45,FALSE,NA,"1124401175871348737",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mindofandre",1,TRUE,FALSE,NA,NA
"43","RT @clawrenceDFW: Glad to be in studio with @wfaaizzy when @MikeLeslieWFAA brought #Cowboys legend Cliff Harris in for a chat, about the wo…",FALSE,0,NA,2019-05-03 19:50:23,FALSE,NA,"1124400833414729730",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GtTingle",9,TRUE,FALSE,NA,NA
"44","RT @bromleydiabetic: Bromley Type2 Diabetic Peer Support meeting is on Sat 4th May 11:00 til 12 noon Bromley Parish church Church Rd #Broml…",FALSE,0,NA,2019-05-03 19:49:19,FALSE,NA,"1124400564702519297",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jclocksmiths",8,TRUE,FALSE,NA,NA
"45","RT @susangweiner: Do you have #diabetes &amp; struggle with #time management and #organization? Check out our latest article in @ManageDiabetes…",FALSE,0,NA,2019-05-03 19:49:11,FALSE,NA,"1124400530032349184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WeAreDiabetes",3,TRUE,FALSE,NA,NA
"46","RT @LancetDigitalH: We are thrilled to announce that the first issue of #LancetDigitalHealth is now live! Featuring our editorial plus rese…",FALSE,0,NA,2019-05-03 19:49:07,FALSE,NA,"1124400511921401857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunjoy_ma",159,TRUE,FALSE,NA,NA
"47","Now what? If you have been diagnosed with Type 1 diabetes, Type 2 diabetes, gestational diabetes, or glucose intole… https://t.co/ywgKs2GuE2",FALSE,0,NA,2019-05-03 19:48:01,TRUE,NA,"1124400238373015553",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","apprhs",0,FALSE,FALSE,NA,NA
"48","RT @Healthonics: It is important to change unhealthy #lifestyle &amp; habits to stay healthy &amp; fit. According to the study published @TheEndoSo…",FALSE,0,NA,2019-05-03 19:45:07,FALSE,NA,"1124399508547198977",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nitanshu1",11,TRUE,FALSE,NA,NA
"49","Come and join myself and @Craig_Beall for a #PhD studentship at @ExeterMed studying #glia in glucose regulation and… https://t.co/yHJ8kQyrve",FALSE,0,NA,2019-05-03 19:44:56,TRUE,NA,"1124399462120591361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NeuroEndo_Ex",1,FALSE,FALSE,NA,NA
"50","Parenting Tips for Parents with Diabetes https://t.co/X4htHxXClq #parenting #diabetes #Parenthood #parentingtips",FALSE,0,NA,2019-05-03 19:44:29,FALSE,NA,"1124399345753894914",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Zolushka4Rachel</a>","RachiieCohen",0,FALSE,FALSE,NA,NA
"51","Flying with an #InsulinPump and #Freestylelibre? Who has done this? please tell me its not as complicated as my bra… https://t.co/fcoCDc4ojR",FALSE,0,NA,2019-05-03 19:42:25,TRUE,NA,"1124398828264873984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Courage_Warrior",0,FALSE,FALSE,NA,NA
"52","RT @ZUDBabar: Our new paper on #Interventions to improve #insulin #prescribing practice for people with #diabetes in hospital: a #systemati…",FALSE,0,NA,2019-05-03 19:41:48,FALSE,NA,"1124398673784385536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CPPPRHUD",4,TRUE,FALSE,NA,NA
"53","RT @nkf: If there is a family history of #diabetes, you should be making sure your kidneys are in good health. Diabetes can damage your kid…",FALSE,0,NA,2019-05-03 19:41:14,FALSE,NA,"1124398527965204480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimReidy2",1,TRUE,FALSE,NA,NA
"54","RT @DanielJDrucker: The #InsulinResistance Syndromes #Diabetes #T2D #Stroke #Heartdisease #CVD #Atherosclerosis: Implications for Insulin S…",FALSE,0,NA,2019-05-03 19:37:15,FALSE,NA,"1124397526990323713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gonzalez_JT",9,TRUE,FALSE,NA,NA
"55","RT @IntDiabetesFed: Diabetic foot can often go unnoticed, leading to ulceration, serious infections and even amputations. Take a look at re…",FALSE,0,NA,2019-05-03 19:37:09,FALSE,NA,"1124397502105620480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Plavikrug",10,TRUE,FALSE,NA,NA
"56","Let's hope we see continued support for insulin pump coverage for everyone in Canada living with #T1D. Coverage is… https://t.co/INn8hDLZPA",FALSE,0,NA,2019-05-03 19:35:36,TRUE,NA,"1124397110462492674",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kristaloveskale",0,FALSE,FALSE,NA,NA
"57","RT @MCG_Health: MCG Associate Managing Editor for #Ambulatory Care, Dr. Barbara Moore, discusses how our #evidencebased guidelines can supp…",FALSE,0,NA,2019-05-03 19:33:37,FALSE,NA,"1124396613479354368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimmieBTampa",2,TRUE,FALSE,NA,NA
"58","Hot off the press: In-home Caregiver in Rancho Bernardo: The End of Diabetes? https://t.co/C3tx9QtrcV #Diabetes… https://t.co/d7kKMayF3H",FALSE,0,NA,2019-05-03 19:32:29,TRUE,NA,"1124396327260102656",NA,"<a href=""https://missinglettr.com"" rel=""nofollow"">Missinglettr</a>","AServantsHeart",0,FALSE,FALSE,NA,NA
"59","RT @MCG_Health: MCG Associate Managing Editor for #Ambulatory Care, Dr. Barbara Moore, discusses how our #evidencebased guidelines can supp…",FALSE,0,NA,2019-05-03 19:32:25,FALSE,NA,"1124396309094514689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HearstHealth",2,TRUE,FALSE,NA,NA
"60","RT @DiabetesMine: ""Now is the time for us to speak up in order to get the attention of our legislators. ... Without our voices, we don’t st…",FALSE,0,NA,2019-05-03 19:31:17,FALSE,NA,"1124396025978990593",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JDRF_GWC",1,TRUE,FALSE,NA,NA
"61","#Things only a diabetic would understand.
#diabetes #diabetic #insulin #insulin4all #prices #type2diabetes… https://t.co/xeyQqCMa6N",FALSE,1,NA,2019-05-03 19:30:11,TRUE,NA,"1124395751130521600",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","CanadianInsulin",0,FALSE,FALSE,NA,NA
"62","""Now is the time for us to speak up in order to get the attention of our legislators. ... Without our voices, we do… https://t.co/CEfpJp6TZx",FALSE,3,NA,2019-05-03 19:30:00,TRUE,NA,"1124395703164395520",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DiabetesMine",1,FALSE,FALSE,NA,NA
"63","Why do #diabetes risks start with an A1C of 5.0?

How do you keep the pancreas healthy and avoid burnout?

Get answ… https://t.co/SEcCz8uHUW",FALSE,0,NA,2019-05-03 19:29:03,TRUE,NA,"1124395463464112128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","E4Diabetes",0,FALSE,FALSE,NA,NA
"64","RT @DiabetesMine: Since announcing Looping is possible with Omnipod, we're told 1,525 orders have been placed for the key piece of hardware…",FALSE,0,NA,2019-05-03 19:27:14,FALSE,NA,"1124395007870287872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bewestisdoing",5,TRUE,FALSE,NA,NA
"65","Living with #diabetes often involves making  lifestyle changes to ensure better health. @69News shares the health j… https://t.co/FbVaRcuSrk",FALSE,0,NA,2019-05-03 19:27:00,TRUE,NA,"1124394948940398592",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","FindSureMed",0,FALSE,FALSE,NA,NA
"66","Diabetes Tale and Pharmacology via Social Cognitive Theory
https://t.co/fw72vfKQzg

Diabetes Tale and Pharmacology… https://t.co/khYNmXr6HW",FALSE,0,NA,2019-05-03 19:26:14,TRUE,NA,"1124394753037099008",NA,"<a href=""https://www.couponudemy.com"" rel=""nofollow"">couponudemy</a>","udemyfreecouses",0,FALSE,FALSE,NA,NA
"67","A broad range of patients with type 2 #diabetes may benefit from more intensive blood pressure treatment, according… https://t.co/FcnVdEj6ea",FALSE,1,NA,2019-05-03 19:25:01,TRUE,NA,"1124394450078375936",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","MedPageEndo",0,FALSE,FALSE,NA,NA
"68","RT @adafruit: Reverse Engineering an Insulin Pump for DIY Closed Loop Therapy #Diabetes #Diabetic #ReverseEngineering @PS2 https://t.co/yme…",FALSE,0,NA,2019-05-03 19:24:26,FALSE,NA,"1124394301281132544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bewestisdoing",7,TRUE,FALSE,NA,NA
"69","RT @Healthonics: It is important to change unhealthy #lifestyle &amp; habits to stay healthy &amp; fit. According to the study published @TheEndoSo…",FALSE,0,NA,2019-05-03 19:23:00,FALSE,NA,"1124393942714286085",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlpaGV",11,TRUE,FALSE,NA,NA
"70","RT @DiabetesMine: The ins and outs of looping using OmniPod https://t.co/EXacmQq7GR #dblog #diabetes #doc #t1d #wearenotwaiting -RK https:/…",FALSE,0,NA,2019-05-03 19:22:03,FALSE,NA,"1124393701080322048",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bewestisdoing",3,TRUE,FALSE,NA,NA
"71","Viola Davis and Merck team up to address Type 2 #diabetes with documentary https://t.co/9p7QLTqrIx (via @theGrio) c… https://t.co/Jc3eUXIzTn",FALSE,0,NA,2019-05-03 19:22:01,TRUE,NA,"1124393694013083648",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","onboardhealth",1,FALSE,FALSE,NA,NA
"72","RT @DSNforumUK: Have you had your say?? #NiceGuidance #Diabetes
click here and comment before the deadline Wednesday 

https://t.co/m1Rto9o…",FALSE,0,NA,2019-05-03 19:19:06,FALSE,NA,"1124392959707893763",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","understudypanc",5,TRUE,FALSE,NA,NA
"73","You can help prevent stroke by making healthy choices and controlling any health conditions you may have. YOU have… https://t.co/85Xprq5Ah7",FALSE,0,NA,2019-05-03 19:18:59,TRUE,NA,"1124392931710898177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HOPEatHomeHeal1",0,FALSE,FALSE,NA,NA
"74","RT @UWMumbai: 500+ women &amp; children benefited from 2 #health camps in #Bengaluru &amp; #Hyderabad. Camp services included general health check-…",FALSE,0,NA,2019-05-03 19:18:39,FALSE,NA,"1124392844842520576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AwaaraAvi",4,TRUE,FALSE,NA,NA
"75","RT @UWMumbai: Through NGO partners @FPAI in Hyderabad&amp; #SaathCharitableTrust in Ahmedabad 730 women&amp;children underwent a no cost general he…",FALSE,0,NA,2019-05-03 19:18:28,FALSE,NA,"1124392802370981889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AwaaraAvi",2,TRUE,FALSE,NA,NA
"76","National Kidney Fdn

@nkf

If there is a family history of #diabetes, you should be making sure your kidneys are in… https://t.co/hXaZZwoVVk",FALSE,0,NA,2019-05-03 19:18:24,TRUE,NA,"1124392784494985216",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kidneystories",0,FALSE,FALSE,NA,NA
"77","RT @DSNforumUK: Have you had your say?? #NiceGuidance #Diabetes
click here and comment before the deadline Wednesday 

https://t.co/m1Rto9o…",FALSE,0,NA,2019-05-03 19:16:34,FALSE,NA,"1124392322136006657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EDEN_Leicester",5,TRUE,FALSE,NA,NA
"78","Remember: You are not #diabetes 💖 You are a unique, amazing and strong person! 💪

More illustrations at… https://t.co/qblS1YChon",FALSE,0,NA,2019-05-03 19:15:37,TRUE,NA,"1124392081349386241",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Blue_Sugar_Cube",0,FALSE,FALSE,NA,NA
"79","MCG Associate Managing Editor for #Ambulatory Care, Dr. Barbara Moore, discusses how our #evidencebased guidelines… https://t.co/8BnwaxC0e6",FALSE,2,NA,2019-05-03 19:14:00,TRUE,NA,"1124391676515102726",NA,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","MCG_Health",2,FALSE,FALSE,NA,NA
